Link,Script
http://www.dailyscript.com/scripts/sunset_bld_3_21_49.html,"


Sunset Boulevard



	SUNSET BOULEVARD


  Charles Brackett
  Billy Wilder
  D.M. Marshman, Jr.

  March 21,1949



                         SEQUENCE ""A""  


  A-l-4   START the picture with the actual street sign:
          SUNSET BOULEVARD, stencilled on a curbstope.
          In the gutter lie dead leaves, scraps of paper,
          burnt matches and cigarette butts.  It is early
          morning.

          Now the CAMERA leaves the sign and MOVES EAST, the
          grey asphalt of the street filling the screen.  As
          speed accelerates to around 40 m.p.h., traffic de-
          marcations, white arrows, speed-limit warnings, man-
          hole covers, etc., flash by.  SUPERIMPOSED on all
          this are the CREDIT TITLES, in the stencilled style
          of the street sign.

          Over the scene we now hear         MAN'S VOICE
          sirens.  Police squad cars    Yes, this is Sunset
          hurtle toward the camera,     Boul"
http://www.dailyscript.com/scripts/Stalag%2017.txt,"                                       ""STALAG 17""

                                      Screenplay by

                               Billy Wilder and Edwin Blum

                                    Based on a play by

                            Donald Bevan and Edmund Trzcinski

                                      SHOOTING DRAFT

                

                                       SEQUENCE ""A""

               FADE IN:

               BARBED WIRE AGAINST A WINTRY NIGHT SKY

               Beyond it, more barbed wire. Ice has formed on the strands. 
               Now and then searchlight beams crisscross the pattern. As 
               the CAMERA SLOWLY MOVES along the double fence, SUPERIMPOSE -

               THE CREDIT TITLES

               THE GREAT CAMP - (NIGHT)

               A wide expanse of barren ground checkered with clusters of 
               barracks, sectioned off into compounds by double barbed-wire 
               fences, nine feet high. Searchlights swee"
http://www.scifiscripts.com/scripts/WARWORLDS.txt," 
 
 
                         THE WAR OF THE WORLDS
 
 
 
 
 
 
 
 
 
 
     FINAL WHITE
     Barré Lyndon
     December 18, 1951
 
 
 
 
 
 
 
 
 
        FADE IN:
 
1.      H. G. WELLS' BOOK
 
        We see the colorful cover, then the first page.  A
        VOICE with a Wells-like accent quotes the opening
        words:
 
                          VOICE
               No one would have believed, in the
               first decades of the twentieth century...
 
        DISSOLVE:
 
 
2.      SPECIAL EFFECT - SKY FULL OF STARS
 
        The planet Mars shows just above the spires and roof-
        tops of a city on the horizon.
 
                          VOICE
                    (Continuing)
               ...that human affairs were being
               watched keenly and closely by
               intelligences greater than man's.
 
        Mars is picked out of the sky and brought to the screen
        as if by some enormous te"
http://www.dailyscript.com/scripts/onthewaterfront.html,"


ON THE WATERFRONT by Budd Schulberg



			ON THE WATERFRONT

			by Budd Schulberg

FADE IN

EXTESTABLISHING SHOTWATERFRONTNIGHT

Shooting toward a small building (Hoboken Yacht Club) set upon a wharf 
floating about twenty-five yards off shore. A long, narrow gangplank 
leads from the wharf to the shore, and on either side of the wharf are 
large ocean liners which are being unloaded by arc light. In the B.G. 
is the glittering New York skyline. A great liner, blazing with light, 
is headed down river. A ferry chugs across to Manhattan. There is a 
counterpoint of ships' whistles, some shrill, others hauntingly muted.

CLOSER SHOTSMALL BUILDINGON WHARFNIGHT

It is the office of the longshoremen's local for this section of 
waterfront. Coming along the gangplank toward the shore is an isolated 
figure. He is TERRY MALLOY, a wiry, jaunty, waterfront hanger-on in his 
late twenties. He wears a turtleneck sweater, a windbreaker and a cap. 
He whistles a fam"
"http://www.dailyscript.com/scripts/Hustler,+The.txt","                                      ""THE HUSTLER""

                                      Screenplay by

                             Sidney Carroll and Robert Rossen

                                   Based on a novel by

                                       Walter Tevis

                

               EXT. SMALL TOWN MAIN STREET - AFTERNOON

               An old Packard coupé pulls up to a roadside gas pump. Two 
               men get out and stretch their legs. The older man, Charlie 
               Burns, a balding, desiccated man in his mid-forties, shambles 
               toward the bar across the street. Eddie Felson remains behind 
               to speak to the attendant.

                                     ATTENDANT
                         Yes sir?

                                     EDDIE
                         I think I got a little grease in 
                         this lining here.

                                     ATTENDANT
                         "
http://www.aellea.com/emruf3/nbam.html,"


Nothing But A Man




A crew of African-Americans are laying tracks in rural Alabama. The crane 
operator is the only white man on the section gang.

INT. BUNK CAR
The dormitory of the section gang. The men are through for the day and 
lounging on their bunkbeds. DUFF ANDERSON plays checkers with FRANKIE, using 
bottle tops as pieces. Duff makes the winning move and Frankie, disgusted, 
turns over the board. He saunters over to JOCKO, who is shaving in a broken 
mirror. Frankie watches him with a grin.

			JOCKO  
	Go to hell, Frankie.

			FRANKIE  
	Man, you sure one ugly cat!

He takes the cigarettes Jocko has rolled, sailor-style, into the sleeve of 
his T-shirt.

			JOCKO  
	Why don't you guys buy your own?

			FRANKIE  
	'Oughta give up smoking, Jocko.

He stops in front of an older man, who is writing a letter.

			FRANKIE  
	How much longer we got on this stretch, Riddick?

			RIDDICK 
	Five weeks, maybe six.

			FRANKIE  
	Man, what a dump.

He circles restlessly past two ca"
http://www.scifiscripts.com/scripts/fantasticvoyager.txt,"
Screenplay by Harry Kleiner


December 22, 1964
Rev. 1/18/65
Rev. 2/26/65

(NOTE: All text between the <> symbols was originally underlined.)

(NOTE: Due to the poor quality of the Xerox which I was sold, several of the
pages have a line of description or dialogue cut off at the bottom. I have
labelled these cut-offs where they occur.)

- - -

	FADE IN

1-	
3

3A	EXT. TWA PLANE IN FLIGHT OVER LOS ANGELES - NIGHT

	With the myriad lights of the city beneath it. As the plane lands:

3B	EXT. HUGE HANGAR

	Troop carriers filled with ARMED SOLDIERS are lined up before the
	hangar; several official cars filled with SECRET SERVICE MEN, four
	MOTORCYCLE POLICEMEN, and a caravan of three limousines complete the
	waiting entourage. The CHIEF of the SECRET SERVICE looks toward the
	airfield as the plane is heard taxiing in. He turns and gets into one
	of the limousines, followed by the others.

3C	LONG SHOT - VEHICLES ON AIRFIELD

	Coming toward camera. The pl"
http://www.dailyscript.com/scripts/klute.html,"


Klute




INT. DINING ROOM - TOM GRUNEMANN HOUSE - DAY

CLOSE SHOT of TOM GRUNEMANN, attractive young
executive, sitting at the head of the dining room
table carving a turkey for Thanksgiving Day dinner.
There are joyous sounds of celebration. The CAMERA
PANS around the table revealing the happy family
and guests. Among them are KLUTE and CABLE.

Camera stops at Mrs. Grunemann who sits at the foot
of the table opposite her husband. She smiles
across at him with pleasure. We cut to Tom
Grunemann smiling back at her. We cut back to a
closeup of Mrs. Grunemann  looking back at her
husband with love. We cut back to Tom Grunemann's
chair - only now it is empty. The joyous sounds
disappear on this cut. It appears that Tom
Grunemann has disappeared before our eyes. One
moment he is there, and the next moment he is gone.
The camera pans back down the table, only now it is
empty except for Grunemann's children and Mrs.
Grunemann. She is now dressed in something dark."
http://www.dailyscript.com/scripts/getaway.html,"

THE GETAWAY by Walter Hill Shooting Script











                        THE GETAWAY
                       by Walter Hill

           This screenplay is dedicated to Raoul Walsh

                     Based on the novel

                             by

                        Jim Thompson

                                  FINAL REVISED SHOOTING SCRIPT
                                              February 23 1972

                                                       FADE IN:

CARD OVER: SANDERSON PRISON

EXT. PRISON YARD - TITLES OVER - DAY

DOC McCOY IS BEING WALKED ACROSS THE COMPOUND BY A UNIFORMED
GUARD, carrying a riot gun. Other Prisoners around the yard
turn and stare as the two men head for the main building.

INT. PRISON CORRIDOR

DOC WALKS DOWN THE BLEAK HALLWAY: A BLACK PRISONER PASSES Doc
in the corridor, they slap hands... the Guard remains at his
shoulder. Near the end of the passage another Guard clangs
open a barred door and allo"
http://www.dailyscript.com/scripts/meanstreet.html,"












                    ""SEASON OF THE WITCH""



























WRITTEN BY:

MARTIN SCORSESE

Mardik Martin
Ethan Edwards




                   Ah, get born, keep warm
            Short pants, romance, learn to dance
                  Get dressed, get blessed
                     Try to be a success
              Please her, please him, buy gifts
                   Don't steal, don't lift
                  Twenty years of schoolin'
              And they put you on the day shift

                          Bob Dylan
                 Subterranean Homesick Blues

(SUPERED OVER BOTTOM OF SCREEN LIKE A TV NEWS BULLETIN)

(THE FILM IS IN COLOR UNLESS OTHERWISE NOTED.)

A darkened diffused image of a man lying on the ground.  A
tree is above him.  The image is more diffused on the edges.
It is black and white, and appears to be coming from a
television.  The body of the man is practically totally in
shad"
http://www.dailyscript.com/scripts/godfather2.html,"

The Godfather: Part two
















				THE GODFATHER

				 Part Two

				Screenplay by

				Mario Puzo

				    and

			 Francis Ford Coppola




















SECOND DRAFT

September 24, 1973





FADE IN:

The Paramount Pictures logo is presented over a simple black
background, as a single trumpet plays the familiar theme of
a waltz.  White lettering fades in:

		     Mario Puzo's THE GODFATHER

There is a pause, as the trumpet concludes, and there is the
additional title: - Part Two -

INT. DON CORLEONE'S OLD OFFICE - CLOSE VIEW ON MICHAEL
CORLEONE - DAY

standing impassively, like a young Prince, recently crowned
King.

CLOSE VIEW ON Michael's hand.  ROCCO LAMPONE kisses his hand.
Then it is taken away.  We can SEE only the empty desk and
chair of Michael's father, Vito Corleone.  We HEAR, over
this, very faintly a funeral dirge played in the distance,
as THE VIEW MOVES SLOWLY CLOSER to the empty des"
http://www.dailyscript.com/scripts/Jaws.txt,"                                 ""STILLNESS IN THE WATER""

                                           AKA:

                                          ""JAWS""

                                            by

                                      Carl Gottlieb

                                           and

                                      Peter Benchley

                                      From the novel

                                            by

                                      Peter Benchley

                

               OVER BLACK

               Sounds of the innerspaces rushing forward.

               Then a splinter of blue light in the center of the picture.

               It breaks wide, showing the top and bottom a silhouetted 
               curtain of razor sharp teeth suggesting that we are inside 
               of a tremendous gullet, looking out at the onrushing undersea 
               world at night. HEAR a symphony of underwater sounds: 
       "
http://www.dailyscript.com/scripts/Logans+Run.txt,"                                      ""LOGAN'S RUN""

                                      Screenplay by

                                   David Zelag Goodman

                

               Please note the crystal will be used in the left hand of all 
               characters.

               FADE IN:

               BEFORE AND DURING TITLES

               EXT. SKY NIGHT

               The moon and stars are visible, but as CAMERA looks down, 
               the SCREEN fills with dark, billowing clouds. CAMERA moves 
               into the clouds and just as they blank out the SCREEN, a 
               distant shimmer of light becomes visible. Moving toward it, 
               the shimmer becomes

               EXT. DOME OF GLASS - NIGHT

               A glowing but not transparent structure stretching off into 
               the clouds that press it. CAMERA continues to move in until 
               the detailed structural webbing of the dome fills the SCREEN 
            "
http://www.dailyscript.com/scripts/Smokey%20And%20The%20Bandit.txt,"                                 ""SMOKEY AND THE BANDIT""

                                      Screenplay by

                             James Lee Barrett, Charles Shyer

                                           and

                                       Alan Mandel

                                         Story by

                              Hal Needham and Robert L. Levy

                                       EARLY DRAFT

                

               FADE IN:

               THE HIGHWAY - DAY

               Georgia. Two-lane blacktop, stretching from here to heaven. 
               Empty. Silent. Then, suddenly in the far distance, several 
               dark specks rise over a hill and head straight toward camera.

               Camera holds and the specks begin to take form. Vehicles. 
               Trucks. Six monstrous eighteen-wheel diesels, coming at us, 
               their smokestacks blasting. Sound grows louder, as we begin 
               to hear snatch"
http://www.dailyscript.com/scripts/Hardcore.txt,"                                        ""HARDCORE""

                                      Screenplay by

                                      Paul Schrader

                                      SHOOTING DRAFT

                

               FADE IN:

               CREDITS

               Credits are played over Currier and Ives-like winter scenes 
               from life in Grand Rapids. It's Christmas morning.

               -- Two well-bundled youths shovel out a suburban driveway 
               while their father scrapes ice off the family car.

               -- Youths pelter a passing car with snowballs. Others, more 
               daring companions, grab onto the car's rear bumper and hitch 
               a free ride across the icy roads and past a sign which reads 
               ""Grand Rapids City Limits.""

               -- Christmas decorations hang from the lamp posts on Monroe 
               Avenue.

               -- Children, dressed in bright parkas, and breat"
http://www.dailyscript.com/scripts/startrek01.html,"Star Trek - The Motion Picture



	                 Star Trek: The Motion Picture

	                           Screenplay by:
	               GENE RODDENBERRY &  HAROLD LIVINGSTONE

	                              Story by:
	                ALAN DEAN FOSTER  & GENE RODDENBERRY

	      
	                                                     SHOOTING SCRIPT

	                                                       July 19, 1978



	      

	      FADE IN :

	  1   EXT SPACE (S)                                                1

	      An ever expanding infinity of light and color as CAMERA            

    
	      TRAVELS THROUGH deep space, MOVING DIRECTLY for one
	      pinpoint of light: a STAR GROWING RAPIDLY as we SWEEP
	      TOWARD IT, a normal white star SUDDENLY CHANGING,
	      brightening, flaring unbelievable intensity: supernova.
	      The CAMERA HOLDS just a moment, then MOVES on, SEARCH-
	      ING through space, the jeweled beauty of other star"
http://www.scifiscripts.com/scripts/esb_final.txt,"				THE EMPIRE STRIKES BACK

					 Written by

				   Lawrence Kasdan 

					    and 

				    Leigh Brackett

				   From a story by

					George Lucas

EXT. GALAXY - PLANET HOTH

A Star Destroyer moves through space, releasing Imperial probe robots 
from its underside.  

One of these probes zooms toward the planet Hoth and lands on its ice-
covered surface.  An explosion marks the point of
impact.  

EXT. HOTH - METEORITE CRATER - SNOW PLAIN - DAY

A weird mechanical sound rises above the whining of the wind.  A 
strange probe robot, with several extended sensors, emerges from the 
smoke-shrouded crater.  The ominous mechanical probe floats across the 
snow plain and disappears into the distance.

EXT. PLAIN OF HOTH - DAY

A small figure gallops across the windswept ice slope.  The bundled 
rider is mounted on a large gray snow lizard, a Tauntaun.  Curving 
plumes of snow rise from beneath the speeding paws of the two-legged 
beast.

The rider ga"
http://www.dailyscript.com/scripts/Gandhi.txt,"                                         ""GANDHI""

                                      Screenplay by

                                       John Briley

                                       Final Draft

                

               EXTERIOR - SKY - DAY

               The camera is moving toward an Indian city. We are high and 
               far away, only the sound of the wind as we grow nearer and 
               nearer, and through the passing clouds these words appear:

               ""No man's life can be encompassed in one telling. There is 
               no way to give each year its allotted weight, to include 
               each event, each person who helped to shape a lifetime. What 
               can be done is to be faithful in spirit to the record, and 
               to try to find one's way to the heart of the man...""

               And now we are approaching the city, the squalor of the little 
               shanty dwellings around the outskirts, the shado"
"http://www.dailyscript.com/scripts/Officer+And+A+Gentleman,+An.txt","                               ""AN OFFICER AND A GENTLEMAN""

                                            by

                                   Douglas Day Stewart

                                       FINAL DRAFT

                                      April 13, 1981

                

               FADE IN:

               EXT. MANILA AIRPORT - FULL SHOT - DAY

               A Philippine Airlines passenger plane is arriving and touching 
               down.

               ANGLE - THE PLANE

               A 13-year old boy starts down the ramp, a suitcase in one 
               hand, an old photo-strip in the other. He studies the strip 
               closely as he searches the faces of the people greeting the 
               passengers.

               CLOSE - THE PHOTO STRIP

               A handsome sailor is necking with his girl in each of the 
               three shots.

               CLOSE - THE BOY

               looking around.

               HIS EYES FALL ON A SA"
http://www.dailyscript.com/scripts/ploughmans_lunch.html,"THE PLOUGHMAN'S LUNCH - by Ian McEwan













                                THE PLOUGHMAN'S LUNCH

                               An original screenplay by

                                      Ian McEwan


























                                               Post Production Draft, 1985





               FADE IN:

               INT. BBC RADIO NEWSROOM - LATE MORNING

               We are IN CLOSE as a story arrives on a press service 
               teleprinter.  A Hand tears away the sheet.  The CAMERA 
               TRACKS as we follow the story.  It passes through the 
               copytaster's hands and it passes on down to the summaries 
               desk.

               This is a time of steady activity.  Journalists move about 
               the room to consult.  Others are writing in longhand, and 
               several are dictating copy to typists, who are all women.  
         "
http://www.scifiscripts.com/scripts/superman3_script.txt,"SUPERMAN VS. SUPERMAN
(SUPERMAN III)

by

David Newman and Leslie Newman


Screenplay

Revised, April 1982


Director:	Richard Lester

Producers:	Alexander Salkind
		Ilya Salkind
		Pierre Spengler		








FADE IN:

INT. UNEMPLOYMENT BUREAU - DAY

ON A WOODEN SIGN HANGING FROM THE CEILING. IT READS:

Metropolis Unemployment Bureau

PAN DOWN TO A ROW OF ""TELLERS' CAGES"" with long lines of PEOPLE waiting to 
collect their unemployment checks. A sign above the first window says ""A - F"", 
the second window is designated ""G - L"" and so on.

CLOSE ON THE SECOND WINDOW --  Waiting his turn at the head of the line is a 
BLACK MAN in his early 30's. He kills time by trying to make a beat-up old 
wooden yo-yo perform the basic up-and-down maneuver, but he's not very good at 
it. He looks as if he's down on his luck: shiny pants, slightly frayed collar, 
an old windbreaker. One of life's chronic losers, he is one of those individuals 
who continue to be"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_III.htm,"
Star Trek : The Movie Scripts - Star Trek III - The Search For Spock - EXCLUSIVE !!!




                                          Star Trek III
                                       The Search For Spock







                                           Written by:
                                          HARVE BENNETT 


                                                                   REV. FINAL DRAFT

                                                                    October 7, 1983



                   

                   FADE IN:

               1   SPACE - A STARFIELD - (ILM SHOT)                               1

                   As the stars appear, we hear the AMBIENCE OF SPACE, a
                   litany of groans, squeals and pings of the unknown.
                   Over this we SUPER:

                   ""PARAMOUNT PICTURES PRESENTS:""

                   We are MOVING through the stars slowly and to our right
                   as "
http://www.angelfire.com/movies/ridleyscott/script/LegendOfDarkness.txt,"





















                     LEGEND OF DARKNESS


                             by

                     William Hjortsberg

































TITLES ROLL:

CLOSE ON a finely-worked Medieval tapestry.  In the
background, beyond the intricate foliage, stands a moated
castle where a troop of mounted hunters set out for the
chase with dogs and lances.  In the foreground, a lovely
young maiden heads for the forest, carrying an armful of
flowers.  The forest, stylistically rendered by the
weaver's art, has numbers of small animals cunningly
worked into the warp and woof.  A Green Man, clad only in
leaves and vines, hides behind a tree, watching a stately
pair of unicorns grazing on the greensward.

TITLES END:

                                            DISSOLVE TO:

EXT.  FOREST GLADE - DAY

The woven image on the tapestry gives way to a pair of
white unicorns browsing in a sun-dapp"
http://www.dailyscript.com/scripts/Silverado.txt,"                                       ""SILVERADO""

                                      Screenplay by

                             Lawrence Kasdan and Mark Kasdan

                                     PRODUCTION DRAFT

                

               FADE IN:

               INT. SHACK - DAY

               Darkness. Quiet. The CAMERA MOVES through the gloom of the 
               small, dirty, wooden hut, past a broken table, over a well-
               worn saddle lying on the floor. Now, a pair of boots standing 
               empty by the rotting remains of a rough-hewn bunk, up to a 
               holstered gun hung on the corner of the bed. The still shape 
               of a man, a bedroll his only protection from the splintery 
               planks. This is EMMETT, fast asleep.

               The door of the shack bursts inward as a Gunman crashes in. 
               For a moment he is silhouetted against the blinding morning 
               light, his two six-guns bla"
http://www.scifiscripts.com/scripts/Highlander_final.txt,"						  HIGHLANDER


						 Screenplay by

						 Gregory Widen

							 and

				  Peter Bellwood & Larry Ferguson






		February 6, 1985






		 FADE IN:

		 MADISON SQUARE GARDEN

		 New York Rangers v. Edmonton Oilers.

		 15,000 screaming fans leap to their feet.

		 Gretsky steals the puck, streaks across the ice, beats two
		 defenders, shoots and scores.

		 Oilers 6, Rangers 0. Oiler fans bellow approval

		 One silent SPECTATOR, in overcoat, slacks and scarf, stands
		 out in the crowd, unmoved by the din. He is:

		 CONNER MACLEOD

		 An aura of power and charisma sets him apart. His hypnotic
		 eyes watch Ranger defenders slam Gretsky into the wall,
		 punching and kicking him.

		 SHOUTING PLAYERS storm onto the ice

		 STICKS SWING IN A BRUTAL FREE-FOR-ALL.

		 The crowd CHEERS. A DRUNK WHOOPS at the silent man.

							  DRUNK
				   Helluva fight, ain'it? Helluva fight.
				   Lotta fun, ain'it?

		 Oblivious, Ma"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_IV.htm," 
Star Trek : The Movie Scripts - Star Trek IV - The Voyage Home - EXCLUSIVE !!!





                                         Star Trek IV
                                       The Voyage Home










                                         Screenplay by
                                HARVE BENNETT & NICHOLAS MEYER

                                            Story by
                                 STEVE MEERSON & PETER KRIKES


                                                              REV.  SHOOTING SCRIPT

                                                                     March 11, 1986





                                        PRODUCTION NOTES

              1.   Please note that the character of Starfleet Commander
                   is ""Admiral Cartwright,"" not ""Admiral Morrow."" Please
                   modify all scripts and production boards accordingly.

              2.   Please note that Master Chief Petty Officer Rand now"
http://www.scifiscripts.com/scripts/superman_IV.txt,"
SUPERMAN IV

By

Mark Rosenthal

and

Lawrence Konner

Revised 30th October, 1986

1	EARTH

Rolls into FRAME. A bauble of green and blue and white swirls of cloud cover. The eerie clip and whistle of cosmic rays is drowned out by static and someone singing 'MY WAY' - in Russian.

2	MOVING INTO FRAME  -  A SOVIET CAPSULE

Gleaming white. Black letters on its side, CCCP. A Russian COSMONAUGHT in his space suit is outside, repairing radio antenna. He's the one singing.

3	INSIDE THE CAPSULE

Three COSMONAUGHTS, two men and a woman, in gym shorts and red T-shirts, are busy floating to their stations. The CAPTAIN, teases his space walker.

					CAPTAIN
			     (Russian with subtitles)
			Spare us the serenade, Comrade
				Sinatra. You're not at home.

4	OUTSIDE THE CAPSULE

					COSMONAUGHT
					    (subtitled)
				At home my kids tell me to save my
				singing for outer space...

5	RACING INTO VIEW

	A piece of spare debris! The discarded chunk of a "
